研报名称,机构名称,发布时间,行业,研报地址
互联网海外行业05月周报：关注AI在教育领域的应用,国联证券,2023-05-14 00:00:00.000,互联网服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305131586610570
2023年中国云原生行业词条报告,头豹研究院,2023-05-11 00:00:00.000,互联网服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586499997
2023年中国音视频解决方案行业词条报告,头豹研究院,2023-05-10 00:00:00.000,互联网服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586455471
人工智能主题年报一季报综述,上海证券,2023-05-09 00:00:00.000,互联网服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586393128
计算机5月观点：AI侧重指标指引，数据要素具备政策指导预期,中银证券,2023-05-09 00:00:00.000,互联网服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586392545
信息技术产业行业研究：关注AI带来的需求驱动和反转机会,国金证券,2023-05-08 00:00:00.000,互联网服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586358501
计算机2022年报和2023年一季报简析,安信证券,2023-05-08 00:00:00.000,互联网服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586353020
计算机板块2023年一季报总结：收入和利润均小幅增长,浙商证券,2023-05-08 00:00:00.000,互联网服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586348700
计算机板块2022年报总结：收入微增，利润承压,浙商证券,2023-05-08 00:00:00.000,互联网服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586348699
计算机海外事件点评：New Bing全面开放使用，引领AI搜索引擎升级浪潮,国海证券,2023-05-07 00:00:00.000,互联网服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305071586346785
计算机行业周观点：Runway AI生成视频，多模态的下一站,华西证券,2023-05-07 00:00:00.000,互联网服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305071586346782
2023年中国无源物联网行业词条报告,头豹研究院,2023-05-07 00:00:00.000,互联网服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305071586343839
2023年中国数据管理行业词条报告,头豹研究院,2023-05-05 00:00:00.000,互联网服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586312299
互联网电商行业点评报告：瑞幸Q1营收利润高增，冰吸生椰拿铁首周666万销量验证爆品策略,浙商证券,2023-05-05 00:00:00.000,互联网服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586300310
互联网Ⅱ海外市场专题：GPT已拉开AIGC技术革命序幕-海外为鉴，看国内大模型与终端应用投资机会,国信证券,2023-05-05 00:00:00.000,互联网服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586300128
养老机器人系列深度之当AI撞上养老,东亚前海证券,2023-05-05 00:00:00.000,互联网服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586300077
计算机行业投资策略周报：数字中国峰会圆满召开，数字经济高速发展正当时,财通证券,2023-05-05 00:00:00.000,互联网服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586290024
互联网行业周报（23年第16周）：WPSAI发布，腾讯《合金弹头：觉醒》上线,国信证券,2023-05-05 00:00:00.000,互联网服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586286419
计算机行业点评报告：工业信创是新型工业化的重要组成,东吴证券,2023-05-04 00:00:00.000,互联网服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586270900
计算机：人工智能主题2023Q1公募基金持仓分析,上海证券,2023-05-04 00:00:00.000,互联网服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586268156
计算机周报：计算机年报与一季报总结：寒冬已过，初沐春风,民生证券,2023-05-04 00:00:00.000,互联网服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586268129
计算机行业点评：中央重视通用人工智能发展，“头雁”溢出效应将显现,平安证券,2023-05-04 00:00:00.000,互联网服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586267254
计算机行业点评报告：中国国际化的关键：“一带一路”的计算机行业投资机会,东吴证券,2023-05-04 00:00:00.000,互联网服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586240407
2022年中国内容分发网络（CDN）服务市场行业报告：CDN服务市场群雄逐鹿，谁是最后赢家？（摘要版）,头豹研究院,2023-04-27 00:00:00.000,互联网服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304271585976586
计算机行业深度报告：数据安全赛道长坡厚雪,东莞证券,2023-04-27 00:00:00.000,互联网服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304271585935355
计算机行业跟踪报告：23Q1基金持仓环比大幅提升,万联证券,2023-04-27 00:00:00.000,互联网服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304271585925362
中国智能视频编码行业白皮书,艾瑞股份,2023-04-26 00:00:00.000,互联网服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304261585866087
AI+行业应用系列深度研究：AI+办公：智能化时代来临,浙商证券,2023-04-25 00:00:00.000,互联网服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304251585786444
2023年中国智能家居（AIoH）发展白皮书,艾瑞股份,2023-04-25 00:00:00.000,互联网服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304251585785665
先进制造行业周报：AIGC助推，数据中心液冷渗透迎来加速,中航证券,2023-04-23 00:00:00.000,互联网服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585726268
计算机行业周报：坚定信心，震荡中布局AI核心,开源证券,2023-04-23 00:00:00.000,互联网服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585724708
计算机：多地数据要素改革落地，产业链协同驱动企业成长,中航证券,2023-04-23 00:00:00.000,互联网服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304221585716419
计算机行业点评报告：AI+水务迎来重要机遇,开源证券,2023-04-21 00:00:00.000,互联网服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304211585672794
数据研究·科技专题：AIGC行业追踪框架,天风证券,2023-04-21 00:00:00.000,互联网服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304211585662026
计算机：积极拥抱AIGC技术变革，关注应用落地,南京证券,2023-04-20 00:00:00.000,互联网服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304201585626330
计算机：钉钉视角：AI加速多终端融合，协作场景或诞生超级APP,天风证券,2023-04-20 00:00:00.000,互联网服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304201585603988
互联网行业专题报告：AI大模型-ChatGPT取得突破性进展，国内大模型争相发布,国信证券,2023-04-20 00:00:00.000,互联网服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304201585601855
计算机行业双周报2023年第8期总第48期：数据安全再引关注 AIGC监管+商密条例将落地,长城国瑞证券,2023-04-19 00:00:00.000,互联网服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304191585574185
