研报名称,机构名称,发布时间,行业,研报地址
万华化学基本面周度动态跟踪：股东大会本周召开，MDI价差有所修复,华安证券,2023-05-15,化学制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586642620
化工行业运行指标跟踪-2023年3月数据,天风证券,2023-05-15,化学制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586638038
中泰化工周度观点23W19：民爆协会发布1-4月数据，看好Q2景气加速复苏,中泰证券,2023-05-15,化学制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586637876
卫星化学及烯烃行业周度动态跟踪,华安证券,2023-05-15,化学制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586633898
基础化工行业研究周报：4月份化学原料和制品制造业价格同比下降9.9%，乙二醇、纯MDI价格上涨,天风证券,2023-05-15,化学制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586632416
基础化工行业研究：新材料产业化加速，建议关注,国金证券,2023-05-15,化学制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586632270
化工新材料行业周报：连跌14月的MLCC迎来拐点最高涨幅40%，国资委推动央企加大在集成电路等战略性新兴产业布局力度,德邦证券,2023-05-15,化学制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586624990
基础化工行业周报：国内α-烯烃加速扩产，PTA、MDI、PET盈利改善,华安证券,2023-05-14,化学制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586623789
化工行业周报：环氧丙烷价格上涨，纯MDI止跌反弹,中银证券,2023-05-14,化学制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586622028
合成生物学周报：NMN食品添加剂未通过行政许可，PLA两步转化为MMA或成为可能,华安证券,2023-05-14,化学制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586621435
新材料产业框架之一：新材料产业深度报告：生物技术，掘金万亿蓝海,国海证券,2023-05-14,化学制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586620727
化工行业2022年报及2023一季报综述：筑底分化，曙光在前,太平洋,2023-05-12,化学制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586524681
基础化工2022年报&2023Q1业绩总结：行业景气回落，静待需求复苏,山西证券,2023-05-12,化学制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586523514
基础化工行业2022年年报&2023年一季报综述：行业盈利能力承压，需求有待复苏,中银证券,2023-05-11,化学制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586495039
基础化工行业深度报告：周期底部显现，静待业绩修复,开源证券,2023-05-11,化学制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586486719
中泰化工周度观点23W18：一季度能源形势发布，消费回暖下静待复苏,中泰证券,2023-05-11,化学制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586484727
化工行业2022年报及2023一季报总结：景气周期筑底，需求静待修复,中泰证券,2023-05-11,化学制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586484726
基础化工行业中期报告：化工产品景气回落，静待底部反转,国金证券,2023-05-11,化学制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586479766
基础化工行业2022年报及2023一季报业绩综述：行业一季度业绩同比下滑，轮胎、日用化学品板块改善明显,东莞证券,2023-05-10,化学制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586450266
化工行业2022&2023Q1业绩回顾：行业业绩承压，景气静待拐点,上海证券,2023-05-10,化学制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586433056
基础化工行业专题研究：23Q1持仓配置处于回落区间，持续聚焦行业龙头,天风证券,2023-05-09,化学制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586405037
基础化工行业研究周报：欧盟“碳关税”正式通过，正丁醇、辛醇价格上涨,天风证券,2023-05-08,化学制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586361546
化工周报-2023年5月第1周,东方证券,2023-05-08,化学制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586358228
卫星化学及烯烃行业周度动态跟踪,华安证券,2023-05-08,化学制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586355111
化工行业周报：国内ABS产能大幅释放，国内ABS产能大幅释放，全球特种化学品龙头扩大宁波工厂产能,德邦证券,2023-05-08,化学制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586352520
基础化工行业周报：板块一季度业绩同比下滑明显，静待盈利改善,东莞证券,2023-05-08,化学制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586352458
基础化工行业研究报告：弱复苏下龙头白马再获关注，主题投资值得期待,国金证券,2023-05-08,化学制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586348530
化工新材料行业周报：2025年全球4系大圆柱动力电池需求量有望超150GWh，至纯科技18亿定增项目获上交所受理,国海证券,2023-05-08,化学制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305071586347120
化工行业周报：国际油价震荡下行，纯碱价格持续下跌,中银证券,2023-05-08,化学制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305071586346941
基础化工行业周报：化工企业一季报环比改善，聚醚、环氧丙烷、己二酸价格上涨,华安证券,2023-05-07,化学制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305071586345965
合成生物学周报：合成生物学企业一季度业绩分化，几丁质生物合成过程已被破译,华安证券,2023-05-07,化学制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305071586345920
化工行业2023年一季报回顾及周报：原油价格继续下行，一季报指向油服、民爆机遇,国联证券,2023-05-07,化学制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305071586345676
化工行业点评：二氯甲烷供应缩减价格上调，二乙二醇市场延续跌势,德邦证券,2023-05-06,化学制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305061586326775
气体行业更新点评：2023年一季度我国稀有气体出口同比增速亮眼，二季度新增产能逐步释放,德邦证券,2023-05-05,化学制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586285072
