研报名称,机构名称,发布时间,行业,研报地址
房地产行业2022年年报&2023年一季报综述：行业盈利与现金承压；房企分化加剧，销售与投资普遍缩量,中银证券,2023-05-12 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586541757
房地产行业深度报告：销售的回暖何时才能传导至投资及新开工？,东吴证券,2023-05-12 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586526983
房地产行业年报及一季报综述：业绩低点，曙光已现,国信证券,2023-05-11 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586487038
房地产行业点评报告：两部门印发意见规范房地产经纪服务点评：引导头部经纪机构健康良性发展，有望压缩经纪服务费用,开源证券,2023-05-11 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586486722
房地产行业研究周报：销售有所回落，多地延续放松政策,中泰证券,2023-05-11 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586484724
房地产行业周报：假期成交整体稳定，多城放松公积金政策,首创证券,2023-05-11 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586479776
房地产行业2023年5月上海市住宅价格发布：今天，你房价评估了没？,城市测量师行,2023-05-11 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586479759
房地产行业深度报告：Q1业绩有所企稳，销售回暖业绩或好转,万联证券,2023-05-10 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586447613
房地产：两部门《关于规范房地产经纪服务的意见》解读-规范地产经纪服务，促进中介行业高质量发展,德邦证券,2023-05-10 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586437413
房地产建材行业周报：4月百强销售同比正增长,国联证券,2023-05-09 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586405153
房地产行业2023年第18周地产周报：五一销售表现平淡，央国企优势持续凸显,东方证券,2023-05-09 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586396466
房地产行业：五一假期楼市表现平淡，低基数下成交面积同比增长超20%,中国指数研究院,2023-05-09 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586395805
中国房地产企业资讯监测报告,中国指数研究院,2023-05-09 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586395804
房地产：早八点|上周楼市成交同环比均涨，宅地成交环比倍增,中国指数研究院,2023-05-09 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586395803
中国房地产企业资讯监测报告,中国指数研究院,2023-05-09 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586395796
房地产行业“百城价格指数”：4月百城销售均价，新建住宅环比上涨0.02%，同比下跌0.07%；二手住宅环比下跌0.14%，同比下跌1.28%；50城租赁均价~普通住宅环比上涨0.09%，同比下跌1.66%,中国指数研究院,2023-05-09 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586395794
房地产行业4.28政治局会议：楼市定调不变，宽松政策仍有空间,中国指数研究院,2023-05-09 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586395782
房地产行业周观点：“五一”假期销售环比回落,万联证券,2023-05-09 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586388343
房地产：规范房地产经纪服务，引领中长期健康发展,平安证券,2023-05-09 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586388332
房地产行业跟踪周报：销售环比回落同比仍强，多城出台放松政策,东吴证券,2023-05-09 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586383193
保租房REITs深度研究：住房租赁市场缺口较大，保租房REITs起航，租赁行业加速步入专业化资管时代,中银证券,2023-05-08 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586380708
房地产行业周报：4月销售环比下降，房企投资依旧谨慎,西南证券,2023-05-08 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586361547
房地产行业周报：五一期间新房成交不及预期，多地放宽公积金政策,开源证券,2023-05-08 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586361530
地产行业周报：假期致成交环比下滑，政策宽松基调未改,平安证券,2023-05-08 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586361484
房地产行业周报：30城销售延续复苏，因城施策助力市场改善,德邦证券,2023-05-08 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586359546
4月房地产行业月报（第58期）：弱复苏趋势仍在，土地市场“冷热不均”,亿翰智库,2023-05-08 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586358901
房地产行业研究：4月百强销售环比回落，五一销售一线强于三四线,国金证券,2023-05-08 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586358443
房地产4月克而瑞百强房企销售数据追踪：百强房企销售同比持续复苏，环比有所下降,德邦证券,2023-05-08 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586358217
房地产行业周报（2023年第18周）：五一销售不及预期，城市表现持续分化,财通证券,2023-05-08 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586358200
房地产行业第18周周报：五一期间新房二手房成交同比正增长，多城放宽公积金贷款政策,中银证券,2023-05-08 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586353691
房地产行业研究周报：地产股2023Q1基金持仓有何变化？,天风证券,2023-05-08 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586348634
房地产REITs周报：购物中心租金近期变化趋势如何？,天风证券,2023-05-08 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586348633
房地产行业美国商业地产风险分析：短期风险有限，长期下行压力犹在,国信证券,2023-05-08 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586348571
房地产行业第18周周报：假期销售环比回落，库存面积持续降低,信达证券,2023-05-08 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305071586347490
房地产行业深度研究：业绩短期承压，未来轻装上阵,国金证券,2023-05-06 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305061586332977
房地产行业周报：一线城市新房销售显著回升，北京房山拟试点“一区一策”,东兴证券,2023-05-06 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305061586332776
2023年4月房企销售融资数据点评：百强销售单月环比回落，债券发行增速降低,信达证券,2023-05-06 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305061586326636
房地产4月百强房企销售点评：百强销售持续向好，单月增速仍在提升,天风证券,2023-05-05 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586290282
地产杂谈系列之四十五：结算业绩持续承压，国企民企结构分化,平安证券,2023-05-05 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586290277
房地产行业周报：政治局会议楼市定调不变，城市间土拍热度分化,开源证券,2023-05-05 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586268191
2023年4月中国房地产土地市场数据点评：4月土地市场热度分化凸显,民生证券,2023-05-05 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586268131
房地产行业：2023年1季度上海办公租赁市场分析报告,城市测量师行,2023-05-05 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586267983
房地产行业研究：地产宽松基调不变，政治局会议首提城改,国金证券,2023-05-04 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586268149
2023年4月中国房地产销售数据点评：四月房产销售呈现放缓趋势，国央企领先态势持续,民生证券,2023-05-04 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586268130
房地产REITs周报：基础设施公募REITs一季度经营如何？,天风证券,2023-05-04 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586268055
2023年4月房地产数据点评：销售及土地市场均呈“弱复苏”,国信证券,2023-05-04 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586268013
房地产行业研究：开发贷余额增速提升，各城市土拍分化,国金证券,2023-05-04 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586267944
房地产行业3月公司月报：央国企销售与拿地增速整体占优，高能级市场复苏力度更强,东兴证券,2023-05-04 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586267917
房地产行业周度观察：一图胜千言,中达证券投资,2023-05-04 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586267913
房地产行业快评报告：政策保持延续性，预计维持宽松,万联证券,2023-05-04 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586267873
房地产行业周观点：4月销售环比回落,万联证券,2023-05-04 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586267278
房地产行业研究周报：4月百强房企销售修复延续 国央企拿地提升,申港证券,2023-05-04 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586267265
房地产行业点评：政策支持基调未改，推动建立房地产业发展新模式,平安证券,2023-05-04 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586267253
中央政治局会议房地产表述解读：推进超大特大城市“城中村改造”，有望拉动地产投资企稳回升,德邦证券,2023-05-04 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586267142
房地产行业2023年第17周地产周报：政治局会议房地产政策基调不变，不动产统一登记制度体系基本成型,东方证券,2023-05-04 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586264583
房地产行业事件点评：我爱我家：22年受新房和经纪业务影响营收利润均承压，23Q1扭亏为盈,中银证券,2023-05-04 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586239639
房地产行业第17周周报：新房二手房成交环比增速转正，百强房企4月单月销售额增速略有放缓,中银证券,2023-05-04 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305031586217874
房地产行业第17周周报：节前新房成交环比回升，4月整体销量回落,信达证券,2023-05-04 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305031586215801
房地产行业跟踪周报：我国实现不动产统一登记，销售同比保持增长,东吴证券,2023-05-04 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305031586215703
房地产2023年4月报：销售修复表现出一定可持续性，开工投资仍延续弱势,招商银行,2023-04-28 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304281586035206
2023年1-3月统计局房地产数据点评：销售回暖融资改善，投资拿地略有回落,信达证券,2023-04-26 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304261585895941
房地产行业点评报告：全面实现不动产统一登记点评：十年建设实现登记机构、登记簿册、登记依据和信息平台“四统一”,开源证券,2023-04-26 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304261585866018
房地产行业3月月报：行业景气度继续小幅回升，竣工大幅度改善,东兴证券,2023-04-26 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304261585866015
房地产行业2023年5月投资策略：楼市温和复苏，政策边际放松,国信证券,2023-04-26 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304261585866013
房地产公募基金一季报点评：2023Q1公募基金对地产持仓比例持续下降，偏好优质区域深耕型房企,中银证券,2023-04-26 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304261585860091
房地产全面实现不动产统一登记事件点评：既非房产税的必要条件，也非充分条件,国信证券,2023-04-26 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304261585859595
房地产：全面实现不动产统一登记，更好促进房地产平稳运行,平安证券,2023-04-26 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304261585853927
房地产行业周观点：楼市“弱复苏”已既成事实，最高法明确商品房消费者权利,国信证券,2023-04-25 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304251585821465
房地产行业4月周报：销售修复，竣工数据好于预期,国联证券,2023-04-25 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304251585799896
【房地产行业周报】最高法支持烂尾楼退款，土拍热度区域分化明显,首创证券,2023-04-25 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304251585795713
房地产行业第16周周报：一线城市新房二手房成交同环比持续正增长；上海集中土拍热度较高,中银证券,2023-04-25 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304251585792472
房地产周报：销售回暖势头延续，杭州临平全域放宽限购,东兴证券,2023-04-24 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585754186
地产周期复苏专题之二：周期复苏，地产如何选股？,中泰证券,2023-04-24 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585752849
房地产行业周观点：房贷利率持续下降，集中供地溢价率回升,万联证券,2023-04-24 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585746196
2023年3月房地产行业运行情况报告：回暖进程不及预期 投资增速再次下滑,东方金诚,2023-04-24 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585745867
房地产行业跟踪周报：新房销售环比微增，市场分化趋势愈加明显,东吴证券,2023-04-24 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585744201
房地产行业研究周报：政策延续松动方向，销售维持韧性,中泰证券,2023-04-24 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585738716
2023年3月房地产行业观察与债市运行动态：商品房销售明显复苏，境内债发行持续回温,远东资信,2023-04-24 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585738256
房地产行业周报：30城销售持续改善，热门城市土拍开启,德邦证券,2023-04-24 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585733558
房地产行业研究周报：3月销售复苏放缓 竣工显著改善,申港证券,2023-04-24 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585733317
房地产行业研究周报：近期仍在推广的房票安置成效如何？,天风证券,2023-04-24 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585731118
地产行业周报：成交环比微降，上海土拍热度高,平安证券,2023-04-24 00:00:00.000,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585730503
