研报名称,机构名称,发布时间,行业,研报地址
【勘误版】国内电动车销量点评：4月销量符合预期，出口表现亮眼,东吴证券,2023-05-14 00:00:00.000,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586619974
汽车与汽车零部件行业2022年报&23Q1季报总结：格局分化加剧 成长属性依旧,华西证券,2023-05-12 00:00:00.000,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586541989
汽车行业资料点评：4月汽车销量同比高增，价格战有望进入尾声,群益证券,2023-05-12 00:00:00.000,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586538647
汽车行业2022年报及2023Q1业绩综述：乘用车预期修复，商用车景气回暖,东莞证券,2023-05-12 00:00:00.000,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586534964
汽车行业混动赛道周动态（2023年5月第1期）,国元证券,2023-05-12 00:00:00.000,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586527988
汽车行业4月销量点评：环比负增长，行业或仍处触底过程中,山西证券,2023-05-12 00:00:00.000,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586520422
电动车行业2023年度投资策略：景气度有望延续，产业链利润开始出现分化,开源证券,2023-05-11 00:00:00.000,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586490257
汽车行业：低基数效应下销量同比高增，国六B实施安排落地推动车市平稳过渡,中国银河,2023-05-11 00:00:00.000,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586490216
汽车行业点评报告：4月批发环比-10%，车企普遍去库,东吴证券,2023-05-11 00:00:00.000,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586487033
新能源汽车行业系列点评五十三：理想：23Q1盈利正增长 双能战略开启,华西证券,2023-05-11 00:00:00.000,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586482232
浙商汽车行业实验室：线控制动之实物拆解,浙商证券,2023-05-11 00:00:00.000,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586480156
汽车行业2023年中期投资策略：出口加速，汽车产业焕发二次成长,开源证券,2023-05-11 00:00:00.000,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586480155
乘联会2023年4月数据点评：车市逐步企稳修复，汽车出口数据亮眼,东亚前海证券,2023-05-10 00:00:00.000,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586454383
汽车：乘用车4月销量数据点评：4月销量企稳修复，过渡期有助国六b平稳切换,国联证券,2023-05-10 00:00:00.000,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586433862
汽车行业新势力赛道周动态（2023年5月第1期）,国元证券,2023-05-09 00:00:00.000,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586405034
汽车行业专题：上海车展新车专题：新能源车百花齐放，自主豪华蓄势待发,德邦证券,2023-05-09 00:00:00.000,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586405021
汽车行业2022年和23Q1业绩总结：需求蓄势待发，板块复苏在即,上海证券,2023-05-09 00:00:00.000,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586392527
新能源汽车景气度跟踪：M4新车型贡献订单新增量，4月订单稳步提升,天风证券,2023-05-09 00:00:00.000,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586388341
乘用车销量系列报告1：复盘二十年风雨征程，自主车企大浪淘沙,华福证券,2023-05-09 00:00:00.000,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586388327
汽车行业5月投资策略：2022年报暨2023年一季报总结，看好二季度汽车行业复苏,国信证券,2023-05-09 00:00:00.000,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586388317
2023年中国新能源汽车空气悬挂行业词条报告,头豹研究院,2023-05-08 00:00:00.000,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586379067
新能源汽车产业链周报：本周产业链上游多个环节价格企稳反弹,东莞证券,2023-05-08 00:00:00.000,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586361076
汽车行业智能网联车赛道周动态（2023年5月第1期）,国元证券,2023-05-08 00:00:00.000,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586360606
汽车行业周报：乘用车零售逐步复苏，重卡延续同比改善趋势,东海证券,2023-05-08 00:00:00.000,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586355576
新能源汽车行业2023年中期投资策略：展望新周期，布局新成长,太平洋,2023-05-08 00:00:00.000,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586355031
理想汽车Q1业绩前瞻：L系列车型爆款持续验证，关注和成本端优化和双能战略进展,天风证券,2023-05-08 00:00:00.000,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586354929
汽车行业周报：经销商库存压力有所改善，市场活跃度持续修复,东莞证券,2023-05-08 00:00:00.000,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586352499
汽车及汽车零部件行业研究周报：欧美市场高景气持续，看好板块反弹机会,国金证券,2023-05-08 00:00:00.000,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586348532
汽车行业周报：零售销量回暖 自主崛起加速,华西证券,2023-05-08 00:00:00.000,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305071586347285
汽车行业跟踪周报：4月第四周乘用车批发销量同比+99%，优选客车！,东吴证券,2023-05-07 00:00:00.000,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305071586344050
汽车行业05月周报：4月车市企稳修复，国常会部署新能源下乡工作,国联证券,2023-05-06 00:00:00.000,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305061586336406
汽车行业22年报及23年一季报总结：23Q1或为年内低点，景气有望逐季改善,信达证券,2023-05-06 00:00:00.000,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305061586336315
商用车行业点评报告：4月份重卡销量8万，同比大幅增长,开源证券,2023-05-06 00:00:00.000,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305061586329725
汽车2022&2023Q1报告总结及前瞻：疫情及政策退出影响渐去，行业有望重归上行,山西证券,2023-05-05 00:00:00.000,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586305158
汽车年报&一季报总结：业绩韧性显著，期待行业全面复苏,浙商证券,2023-05-05 00:00:00.000,汽车整车,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586297728
