研报名称,机构名称,发布时间,行业,研报地址
电力设备行业周报：碳酸锂价格回升，锂电回收产业景气度修复,华安证券,2023-05-14 00:00:00.000,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586624338
电力设备及新能源行业周报：一季度可再生能源新增装机同比增长86.5%，产业链价格加速下滑,山西证券,2023-05-14 00:00:00.000,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305131586609748
电新行业2022年&23年一季度业绩总结：底部已现，否极泰来,中国银河,2023-05-11 00:00:00.000,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586502603
光伏板块2022年年报及2023年一季报总结,华金证券,2023-05-11 00:00:00.000,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586496965
氢能深度系列六：电氢替代迈入进行时,国联证券,2023-05-11 00:00:00.000,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586472566
新能源车总结：盈利分化，景气依旧,信达证券,2023-05-10 00:00:00.000,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586446613
行业专题报告：储能及电力设备行业2022及23Q1业绩综述：储能业绩高增兑现，电力设备稳步增长,信达证券,2023-05-09 00:00:00.000,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586401860
电力行业2023电力中期策略报告：煤电周期上行在途，电改引领价值重估,信达证券,2023-05-09 00:00:00.000,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586392463
电新行业2023Q1基金持仓分析：整体持仓明显下降，估值新低反转可期,德邦证券,2023-05-09 00:00:00.000,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586388304
锂电回收行业跟踪周报：锂价小幅回升&折扣系数上行，技术&回收渠道建设继续推进,东吴证券,2023-05-08 00:00:00.000,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586381416
充电桩深度报告：新能源汽车后市场补短板，充电桩建设加速,华金证券,2023-05-08 00:00:00.000,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586379948
电力设备及新能源周报：新能车销量走高，光伏新增装机超预期,民生证券,2023-05-08 00:00:00.000,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586358881
储能行业中期投资策略：全球需求持续向好，聚焦产业链瓶颈与结构性领域,开源证券,2023-05-08 00:00:00.000,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586358862
新能源发电设备行业研究：光伏板块业绩总结-行业高景气延续，环节表现分化,国金证券,2023-05-08 00:00:00.000,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586355015
公用事业行业公用环保22年报及23年一季报总结,天风证券,2023-05-08 00:00:00.000,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586352519
